Date,Time,Unit,Value
10/3/23, 4:21 PM,count/min,69.0
10/4/23, 4:15 PM,count/min,65.0
10/8/23, 1:46 PM,count/min,68.0
10/9/23, 4:34 PM,count/min,65.0
10/10/23, 6:32 AM,count/min,64.0
10/12/23, 8:36 AM,count/min,61.0
10/13/23, 12:02 AM,count/min,74.0
10/14/23, 1:21 PM,count/min,68.0
10/15/23, 12:00 AM,count/min,72.0
10/16/23, 6:37 AM,count/min,60.0
10/19/23, 6:39 AM,count/min,68.0
10/20/23, 1:04 AM,count/min,74.0
11/6/23, 4:27 PM,count/min,73.0
11/7/23, 12:03 AM,count/min,67.0
11/8/23, 12:02 AM,count/min,63.0
11/13/23, 4:33 PM,count/min,68.0
11/14/23, 12:00 AM,count/min,66.0
11/22/23, 4:28 PM,count/min,75.0
11/26/23, 10:24 AM,count/min,60.0
12/27/23, 4:53 PM,count/min,74.0
12/29/23, 5:05 PM,count/min,70.0
12/30/23, 12:00 AM,count/min,59.0
12/31/23, 12:01 AM,count/min,67.0
1/2/24, 5:11 PM,count/min,77.00000000000001
1/7/24, 12:07 AM,count/min,83.0
1/8/24, 2:35 PM,count/min,72.0
1/9/24, 12:02 AM,count/min,75.0
1/10/24, 4:59 PM,count/min,75.0
1/11/24, 12:00 AM,count/min,78.0
1/19/24, 5:50 PM,count/min,87.0
1/20/24, 12:03 AM,count/min,77.00000000000001
1/23/24, 4:02 PM,count/min,81.0
1/24/24, 12:03 AM,count/min,80.0
1/26/24, 5:00 PM,count/min,70.0
1/27/24, 12:04 AM,count/min,57.0
1/28/24, 12:04 AM,count/min,84.0
1/29/24, 4:54 PM,count/min,79.0
1/30/24, 12:04 AM,count/min,72.0
1/31/24, 12:00 AM,count/min,74.0
2/1/24, 12:03 AM,count/min,70.0
2/2/24, 12:02 AM,count/min,63.0
2/3/24, 4:53 PM,count/min,65.0
2/6/24, 4:51 PM,count/min,71.0
2/7/24, 12:05 AM,count/min,66.0
2/8/24, 12:44 PM,count/min,78.0
2/10/24, 1:55 PM,count/min,73.0
2/11/24, 1:54 PM,count/min,72.0
2/12/24, 5:07 PM,count/min,72.0
2/13/24, 12:01 AM,count/min,75.0
2/15/24, 5:36 PM,count/min,76.0
2/16/24, 12:02 AM,count/min,67.0
2/17/24, 12:00 AM,count/min,60.0
2/18/24, 3:13 AM,count/min,66.0
2/19/24, 8:45 PM,count/min,85.0
2/20/24, 3:00 AM,count/min,61.0
2/21/24, 3:03 AM,count/min,65.0
2/22/24, 10:26 AM,count/min,93.0
2/23/24, 12:04 AM,count/min,81.0
3/1/24, 5:34 PM,count/min,66.0
3/5/24, 2:00 AM,count/min,67.0
3/6/24, 11:12 AM,count/min,94.0
3/7/24, 11:06 AM,count/min,97.0
3/8/24, 11:05 AM,count/min,88.0
3/9/24, 2:00 AM,count/min,68.0
3/12/24, 11:15 AM,count/min,63.0
3/13/24, 12:03 AM,count/min,60.0
3/14/24, 5:06 PM,count/min,71.0
3/15/24, 10:06 AM,count/min,68.0
3/16/24, 3:00 AM,count/min,85.0
3/17/24, 3:01 AM,count/min,66.0
3/18/24, 12:01 AM,count/min,67.0
3/20/24, 12:54 PM,count/min,72.0
3/25/24, 4:38 PM,count/min,79.0
3/26/24, 12:00 AM,count/min,85.0
3/27/24, 2:22 PM,count/min,87.0
3/28/24, 12:03 AM,count/min,82.0
3/29/24, 12:01 AM,count/min,85.0
3/30/24, 2:13 PM,count/min,64.0
3/31/24, 12:00 AM,count/min,69.0
4/1/24, 4:53 PM,count/min,87.0
4/2/24, 12:00 AM,count/min,72.0
4/3/24, 8:56 AM,count/min,70.0
4/4/24, 9:25 AM,count/min,88.0
4/5/24, 2:03 AM,count/min,82.0
4/6/24, 2:02 AM,count/min,85.0
4/29/24, 6:53 AM,count/min,64.0
4/30/24, 12:19 AM,count/min,64.0
5/1/24, 5:12 AM,count/min,70.0
5/3/24, 5:16 AM,count/min,63.0
5/5/24, 8:22 PM,count/min,67.0
5/8/24, 8:48 PM,count/min,68.0
5/10/24, 12:02 AM,count/min,60.0
5/11/24, 12:02 AM,count/min,60.0
5/12/24, 12:00 AM,count/min,69.0
5/13/24, 12:05 AM,count/min,63.0
5/14/24, 12:03 AM,count/min,67.0
5/15/24, 4:54 PM,count/min,78.0
5/16/24, 12:02 AM,count/min,74.0
5/17/24, 12:03 AM,count/min,67.0
5/18/24, 12:01 AM,count/min,70.0
5/19/24, 9:01 PM,count/min,68.0
5/20/24, 12:02 AM,count/min,66.0
5/21/24, 12:01 AM,count/min,63.0
5/22/24, 12:00 AM,count/min,62.00000000000001
5/23/24, 12:05 AM,count/min,73.0
5/24/24, 12:00 AM,count/min,72.0
5/25/24, 12:00 AM,count/min,66.0
5/28/24, 12:00 AM,count/min,69.0
5/29/24, 12:00 AM,count/min,69.0
5/30/24, 12:00 AM,count/min,67.0
5/31/24, 12:02 AM,count/min,67.0
6/1/24, 10:10 AM,count/min,60.0
6/2/24, 12:01 AM,count/min,64.0
6/4/24, 12:01 AM,count/min,66.0
6/5/24, 6:15 AM,count/min,71.0
6/6/24, 5:04 AM,count/min,62.00000000000001
6/7/24, 12:03 AM,count/min,63.0
6/7/24, 12:03 AM,count/min,63.0
6/11/24, 12:00 AM,count/min,62.00000000000001
6/12/24, 12:01 AM,count/min,63.0
6/13/24, 12:00 AM,count/min,65.0
6/14/24, 12:02 AM,count/min,62.00000000000001
6/17/24, 7:03 AM,count/min,76.0
6/18/24, 5:40 AM,count/min,67.0
6/21/24, 9:20 PM,count/min,62.00000000000001
6/22/24, 12:00 AM,count/min,56.0
6/23/24, 12:02 AM,count/min,60.0
6/25/24, 12:00 AM,count/min,64.0
6/26/24, 12:00 AM,count/min,62.00000000000001
6/28/24, 12:00 AM,count/min,66.0
7/1/24, 12:05 AM,count/min,66.0
7/2/24, 12:02 AM,count/min,61.0
7/4/24, 12:07 AM,count/min,67.0
7/5/24, 12:00 AM,count/min,62.00000000000001
7/6/24, 12:08 AM,count/min,63.0
7/7/24, 8:59 PM,count/min,67.0
7/8/24, 12:04 AM,count/min,62.00000000000001
7/9/24, 12:06 AM,count/min,62.00000000000001
7/11/24, 1:46 AM,count/min,60.0
7/12/24, 12:00 AM,count/min,64.0
7/19/24, 7:17 AM,count/min,65.0
7/21/24, 1:04 AM,count/min,57.0
7/27/24, 6:10 AM,count/min,64.0
7/28/24, 5:15 PM,count/min,75.0
7/29/24, 12:05 AM,count/min,70.0
7/31/24, 12:00 AM,count/min,71.0
8/2/24, 12:03 AM,count/min,63.0
8/3/24, 6:18 AM,count/min,77.00000000000001
8/6/24, 12:00 AM,count/min,72.0
8/9/24, 12:02 AM,count/min,63.0
